Time,FSR Reading
1748627047.606192,715
1748627047.7066765,715
1748627047.8069177,715
1748627047.9071846,715
1748627048.0076463,715
1748627048.1080658,715
1748627048.208405,715
1748627048.3087142,715
1748627048.4092324,715
1748627048.5095284,715
1748627048.6101594,716
1748627048.710414,716
1748627048.8105779,716
1748627048.9111362,716
1748627049.0113776,716
1748627049.111773,716
1748627049.2122426,716
1748627049.3127072,716
1748627049.4128754,717
1748627049.5133445,716
1748627049.61366,717
1748627049.7141392,717
1748627049.814369,717
1748627049.9147844,717
1748627050.0151772,716
1748627050.11551,717
1748627050.2159386,717
1748627050.3163283,717
1748627050.4166403,717
1748627050.5170596,718
1748627050.6174054,718
1748627050.7177165,727
1748627050.8182116,750
1748627050.9185042,783
1748627051.0198987,1023
1748627051.1203003,1023
1748627051.2208233,1022
1748627051.3211727,1023
1748627051.420471,918
1748627051.5207882,899
1748627051.621213,877
1748627051.7214642,861
1748627051.8219664,846
1748627051.922323,841
1748627052.0225918,829
1748627052.1231322,758
1748627052.223483,738
1748627052.3238592,750
1748627052.4241955,750
1748627052.524671,750
1748627052.6248689,750
1748627052.725316,749
1748627052.8256788,749
1748627052.9261253,750
1748627053.027191,750
